Assay_Type	AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	LibrarySource	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	individual	sex	tissue	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LoadDate	Platform	ReleaseDate	SRA_Study	age	breed	cultivar	dev_stage	ecotype	isolate	strain
RNA-Seq	150	SAMN11245731	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575569	TRANSCRIPTOMIC	524	1711	717	Gambusia holbrooki	SRR8785994	SRS4537864	G.hol._4F_T	21	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245731	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575568	TRANSCRIPTOMIC	525	1904	757	Gambusia holbrooki	SRR8785995	SRS4537864	G.hol._4F_T	21	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245734	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575455	TRANSCRIPTOMIC	537	1590	633	Gambusia holbrooki	SRR8785575	SRS4537877	G.hol._8M_T	24	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245734	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575757	TRANSCRIPTOMIC	535	660	260	Gambusia holbrooki	SRR8785806	SRS4537877	G.hol._8M_T	24	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245734	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575756	TRANSCRIPTOMIC	534	2476	976	Gambusia holbrooki	SRR8785807	SRS4537877	G.hol._8M_T	24	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245734	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575751	TRANSCRIPTOMIC	536	1419	601	Gambusia holbrooki	SRR8785812	SRS4537877	G.hol._8M_T	24	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245733	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575801	TRANSCRIPTOMIC	531	2328	908	Gambusia holbrooki	SRR8785762	SRS4537884	G.hol._7M_T	23	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245733	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575753	TRANSCRIPTOMIC	532	1566	652	Gambusia holbrooki	SRR8785810	SRS4537884	G.hol._7M_T	23	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245733	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575752	TRANSCRIPTOMIC	533	1745	691	Gambusia holbrooki	SRR8785811	SRS4537884	G.hol._7M_T	23	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245733	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575567	TRANSCRIPTOMIC	530	847	332	Gambusia holbrooki	SRR8785996	SRS4537884	G.hol._7M_T	23	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245732	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575802	TRANSCRIPTOMIC	528	1695	704	Gambusia holbrooki	SRR8785761	SRS4537885	G.hol._6M_T	22	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245732	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575789	TRANSCRIPTOMIC	529	1866	737	Gambusia holbrooki	SRR8785774	SRS4537885	G.hol._6M_T	22	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245732	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575571	TRANSCRIPTOMIC	526	832	325	Gambusia holbrooki	SRR8785992	SRS4537885	G.hol._6M_T	22	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245732	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575570	TRANSCRIPTOMIC	527	2579	1006	Gambusia holbrooki	SRR8785993	SRS4537885	G.hol._6M_T	22	male	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575505	GENOMIC	508	3978	1977	Gambusia holbrooki	SRR8785525	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575504	GENOMIC	509	3989	1883	Gambusia holbrooki	SRR8785526	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575503	GENOMIC	510	3978	1892	Gambusia holbrooki	SRR8785527	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575502	GENOMIC	511	3959	1885	Gambusia holbrooki	SRR8785528	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575501	GENOMIC	467	4493	1825	Gambusia holbrooki	SRR8785529	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575499	GENOMIC	465	4511	1837	Gambusia holbrooki	SRR8785531	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575498	GENOMIC	464	4505	1839	Gambusia holbrooki	SRR8785532	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575497	GENOMIC	471	4499	1842	Gambusia holbrooki	SRR8785533	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575496	GENOMIC	470	4484	1851	Gambusia holbrooki	SRR8785534	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575495	GENOMIC	469	4474	1851	Gambusia holbrooki	SRR8785535	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575494	GENOMIC	468	4468	1850	Gambusia holbrooki	SRR8785536	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575396	GENOMIC	458	4552	1819	Gambusia holbrooki	SRR8785634	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575395	GENOMIC	459	4498	1798	Gambusia holbrooki	SRR8785635	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575393	GENOMIC	457	4433	1900	Gambusia holbrooki	SRR8785637	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575391	GENOMIC	513	3029	1328	Gambusia holbrooki	SRR8785639	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575345	GENOMIC	462	4527	1831	Gambusia holbrooki	SRR8785685	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575344	GENOMIC	463	4527	1879	Gambusia holbrooki	SRR8785686	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575343	GENOMIC	460	4534	1818	Gambusia holbrooki	SRR8785687	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575771	GENOMIC	507	4003	1948	Gambusia holbrooki	SRR8785792	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575770	GENOMIC	512	3786	1751	Gambusia holbrooki	SRR8785793	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575765	GENOMIC	466	4504	1826	Gambusia holbrooki	SRR8785798	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245728	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575574	GENOMIC	461	4531	1813	Gambusia holbrooki	SRR8785989	SRS4537860	G.hol._8M_H	24	male	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575538	GENOMIC	416	4729	1892	Gambusia holbrooki	SRR8785492	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575537	GENOMIC	417	4716	1906	Gambusia holbrooki	SRR8785493	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575536	GENOMIC	414	4687	1873	Gambusia holbrooki	SRR8785494	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575535	GENOMIC	415	4722	1893	Gambusia holbrooki	SRR8785495	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575534	GENOMIC	420	4689	1912	Gambusia holbrooki	SRR8785496	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575533	GENOMIC	421	4691	1903	Gambusia holbrooki	SRR8785497	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575532	GENOMIC	418	4705	1953	Gambusia holbrooki	SRR8785498	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	300	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575531	GENOMIC	419	4685	1913	Gambusia holbrooki	SRR8785499	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575517	GENOMIC	487	5070	2534	Gambusia holbrooki	SRR8785513	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575516	GENOMIC	486	5107	2501	Gambusia holbrooki	SRR8785514	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575515	GENOMIC	489	5068	2427	Gambusia holbrooki	SRR8785515	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575514	GENOMIC	488	5089	2418	Gambusia holbrooki	SRR8785516	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575513	GENOMIC	491	4829	2248	Gambusia holbrooki	SRR8785517	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
WGS	250	SAMN11245725	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575512	GENOMIC	490	5045	2417	Gambusia holbrooki	SRR8785518	SRS4537866	G.hol._4F_H	21	female	head	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
