INDV	O(HOM)	E(HOM)	N_SITES	F	chr
P.win._13F_H	95501	66285.5	116303	0.58411	chr23
P.win._14F_H	82905	66316.1	116397	0.33124	chr23
P.win_15F_H	55121	66193.1	116161	-0.22158	chr23
P.win._5M_H	60284	66375.6	116495	-0.12154	chr23
P.win._6M_H	70524	66449.0	116629	0.08121	chr23
P.win._7M_H	53149	66446.1	116607	-0.26509	chr23
P.win._13F_H	22386	32157.7	56796	-0.39661	chr24
P.win._14F_H	22405	32191.4	56860	-0.39671	chr24
P.win_15F_H	41782	31992.3	56469	0.39996	chr24
P.win._5M_H	27851	32162.5	56804	-0.17497	chr24
P.win._6M_H	36128	32200.8	56873	0.15917	chr24
P.win._7M_H	33756	32134.9	56741	0.06588	chr24
P.win._13F_H	81777	84300.3	153366	-0.03654	chr2
P.win._14F_H	111512	84013.9	152785	0.39985	chr2
P.win_15F_H	71501	84002.0	152793	-0.18172	chr2
P.win._5M_H	114361	84111.8	152961	0.43935	chr2
P.win._6M_H	111262	84217.7	153180	0.39216	chr2
P.win._7M_H	91873	84270.8	153348	0.11005	chr2
P.win._13F_H	72427	97933.3	174435	-0.33341	chr3
P.win._14F_H	94198	97740.4	174072	-0.04641	chr3
P.win_15F_H	88812	97529.2	173677	-0.11448	chr3
P.win._5M_H	76364	97853.5	174271	-0.28121	chr3
P.win._6M_H	105035	97850.5	174320	0.09395	chr3
P.win._7M_H	101819	97771.0	174112	0.05303	chr3
P.win._13F_H	44133	67159.1	119990	-0.43585	chr4
P.win._14F_H	60447	67035.7	119724	-0.12505	chr4
P.win_15F_H	62337	66902.1	119486	-0.08681	chr4
P.win._5M_H	55835	67058.3	119778	-0.21289	chr4
P.win._6M_H	83750	67084.5	119811	0.31607	chr4
P.win._7M_H	41528	67136.5	119939	-0.48499	chr4
P.win._13F_H	66698	78332.8	141309	-0.18475	chr5
P.win._14F_H	82656	78183.1	141023	0.07118	chr5
P.win_15F_H	73510	77965.4	140584	-0.07115	chr5
P.win._5M_H	65549	78325.1	141267	-0.20298	chr5
P.win._6M_H	86382	78347.1	141311	0.12761	chr5
P.win._7M_H	67675	78319.4	141275	-0.16908	chr5
P.win._13F_H	53280	77448.6	142469	-0.37171	chr6
P.win._14F_H	80736	77365.5	142349	0.05187	chr6
P.win_15F_H	87220	77121.3	141836	0.15605	chr6
P.win._5M_H	52014	77421.4	142424	-0.39087	chr6
P.win._6M_H	86889	77417.3	142407	0.14574	chr6
P.win._7M_H	64177	77465.0	142513	-0.20428	chr6
P.win._13F_H	62879	61825.9	112343	0.02085	chr7
P.win._14F_H	62757	61656.2	112001	0.02187	chr7
P.win_15F_H	59294	61702.0	112078	-0.04780	chr7
P.win._5M_H	54346	61838.8	112352	-0.14833	chr7
P.win._6M_H	48998	61867.5	112398	-0.25469	chr7
P.win._7M_H	40818	61920.1	112509	-0.41713	chr7
P.win._13F_H	61996	68341.0	125555	-0.11090	chr8
P.win._14F_H	83852	68147.1	125169	0.27542	chr8
P.win_15F_H	102137	67892.2	124711	0.60270	chr8
P.win._5M_H	61447	68379.3	125616	-0.12112	chr8
P.win._6M_H	62399	68425.1	125719	-0.10518	chr8
P.win._7M_H	63304	68361.7	125606	-0.08835	chr8
P.win._13F_H	60979	59414.6	107603	0.03246	chr9
P.win._14F_H	79006	59384.5	107577	0.40715	chr9
P.win_15F_H	60317	59185.2	107181	0.02358	chr9
P.win._5M_H	56439	59399.0	107559	-0.06146	chr9
P.win._6M_H	59437	59468.4	107697	-0.00065	chr9
P.win._7M_H	85929	59338.6	107448	0.55271	chr9
