INDV	O(HOM)	E(HOM)	N_SITES	F	chr
P.lat._1F_H	72500	80673.6	141714	-0.13390	chr1
P.lat._2F_H	72371	80698.9	141768	-0.13637	chr1
P.lat._3M_H	70822	80720.8	141813	-0.16203	chr1
P.lat._4M_H	72644	80655.8	141681	-0.13129	chr1
P.lat._6F_H	71389	80776.3	141907	-0.15356	chr1
P.lat._7M_H	73682	80666.3	141696	-0.11444	chr1
P.lat._1F_H	71496	81158.6	142292	-0.15806	chr20
P.lat._2F_H	74006	81127.2	142220	-0.11656	chr20
P.lat._3M_H	72707	81152.0	142277	-0.13816	chr20
P.lat._4M_H	73760	81165.3	142297	-0.12114	chr20
P.lat._6F_H	72069	81220.3	142395	-0.14959	chr20
P.lat._7M_H	74144	81181.5	142339	-0.11507	chr20
P.lat._1F_H	54748	68003.1	120169	-0.25409	chr21
P.lat._2F_H	54498	68033.7	120232	-0.25931	chr21
P.lat._3M_H	66091	67971.2	120116	-0.03606	chr21
P.lat._4M_H	64745	68002.9	120164	-0.06246	chr21
P.lat._6F_H	55170	68110.4	120368	-0.24763	chr21
P.lat._7M_H	64062	67903.3	119928	-0.07384	chr21
P.lat._1F_H	61867	69720.9	122365	-0.14919	chr22
P.lat._2F_H	64434	69729.2	122383	-0.10057	chr22
P.lat._3M_H	62877	69769.2	122459	-0.13081	chr22
P.lat._4M_H	58715	69739.7	122398	-0.20936	chr22
P.lat._6F_H	64515	69832.2	122575	-0.10081	chr22
P.lat._7M_H	64013	69759.5	122436	-0.10909	chr22
P.lat._1F_H	78498	80248.0	141115	-0.02875	chr23
P.lat._2F_H	69807	80286.5	141181	-0.17209	chr23
P.lat._3M_H	73989	80310.6	141227	-0.10378	chr23
P.lat._4M_H	72049	80281.3	141172	-0.13520	chr23
P.lat._6F_H	73035	80404.3	141403	-0.12081	chr23
P.lat._7M_H	73535	80278.9	141160	-0.11077	chr23
P.lat._1F_H	35156	37928.9	66515	-0.09700	chr24
P.lat._2F_H	32417	37950.2	66547	-0.19349	chr24
P.lat._3M_H	33870	37971.1	66584	-0.14333	chr24
P.lat._4M_H	35533	37924.1	66499	-0.08368	chr24
P.lat._6F_H	33753	38014.3	66668	-0.14872	chr24
P.lat._7M_H	33684	37956.2	66562	-0.14935	chr24
P.lat._1F_H	69225	77985.9	137285	-0.14774	chr2
P.lat._2F_H	66848	77993.2	137290	-0.18796	chr2
P.lat._3M_H	69027	77979.8	137273	-0.15099	chr2
P.lat._4M_H	67801	78002.5	137317	-0.17199	chr2
P.lat._6F_H	68632	78113.6	137527	-0.15959	chr2
P.lat._7M_H	68908	78045.5	137400	-0.15395	chr2
P.lat._1F_H	82155	83894.6	148007	-0.02713	chr3
P.lat._2F_H	79000	83947.3	148112	-0.07710	chr3
P.lat._3M_H	76876	83973.0	148155	-0.11058	chr3
P.lat._4M_H	77364	83999.2	148225	-0.10331	chr3
P.lat._6F_H	75285	84101.5	148406	-0.13710	chr3
P.lat._7M_H	73117	84047.0	148308	-0.17009	chr3
P.lat._1F_H	81783	87824.9	154054	-0.09123	chr4
P.lat._2F_H	77076	87848.1	154096	-0.16260	chr4
P.lat._3M_H	78922	87856.0	154121	-0.13482	chr4
P.lat._4M_H	76073	87870.2	154147	-0.17800	chr4
P.lat._6F_H	81108	87936.9	154276	-0.10294	chr4
P.lat._7M_H	77062	87872.2	154150	-0.16310	chr4
P.lat._1F_H	75939	85567.4	151062	-0.14701	chr5
P.lat._2F_H	75590	85586.9	151098	-0.15260	chr5
P.lat._3M_H	76595	85621.0	151158	-0.13772	chr5
P.lat._4M_H	73653	85605.2	151121	-0.18243	chr5
P.lat._6F_H	82418	85632.9	151181	-0.04905	chr5
P.lat._7M_H	75524	85634.7	151189	-0.15423	chr5
P.lat._1F_H	67351	76707.8	135066	-0.16033	chr6
P.lat._2F_H	76440	76523.8	134701	-0.00144	chr6
P.lat._3M_H	69705	76697.1	135047	-0.11983	chr6
P.lat._4M_H	69414	76664.1	134987	-0.12431	chr6
P.lat._6F_H	70025	76794.0	135227	-0.11584	chr6
P.lat._7M_H	68941	76722.8	135086	-0.13333	chr6
P.lat._1F_H	84477	91317.8	161047	-0.09810	chr7
P.lat._2F_H	83655	91650.3	161714	-0.11411	chr7
P.lat._3M_H	85566	91513.1	161455	-0.08503	chr7
P.lat._4M_H	82615	91451.5	161326	-0.12646	chr7
P.lat._6F_H	86578	91743.7	161878	-0.07365	chr7
P.lat._7M_H	88412	91357.5	161132	-0.04221	chr7
P.lat._1F_H	65646	70923.5	124714	-0.09811	chr8
P.lat._2F_H	64048	70955.8	124777	-0.12835	chr8
P.lat._3M_H	63887	70947.6	124757	-0.13122	chr8
P.lat._4M_H	64543	70893.0	124655	-0.11811	chr8
P.lat._6F_H	63874	71061.3	124982	-0.13329	chr8
P.lat._7M_H	64915	70920.8	124707	-0.11166	chr8
P.lat._1F_H	82394	77601.7	137188	0.08043	chr9
P.lat._2F_H	84907	77619.1	137229	0.12226	chr9
P.lat._3M_H	69140	77739.6	137453	-0.14401	chr9
P.lat._4M_H	67101	77651.3	137276	-0.17694	chr9
P.lat._6F_H	73705	77766.9	137498	-0.06800	chr9
P.lat._7M_H	71105	77697.1	137365	-0.11048	chr9
