INDV	O(HOM)	E(HOM)	N_SITES	F	chr
P.lat._2F_T	20300	23759.3	34367	-0.32612	chr16
P.lat._3M_T	16893	25116.4	36866	-0.69988	chr16
P.lat._4M_T	24592	24951.5	36371	-0.03148	chr16
P.lat._6F_T	22994	24587.4	35686	-0.14357	chr16
P.lat._7M_T	25059	24908.5	36265	0.01325	chr16
P.lat._1F_T	12307	11996.3	17546	0.05598	chr17
P.lat._2F_T	10032	11476.8	16650	-0.27928	chr17
P.lat._3M_T	8151	12023.2	17708	-0.68115	chr17
P.lat._4M_T	11842	11912.1	17411	-0.01276	chr17
P.lat._6F_T	10561	11600.7	16874	-0.19717	chr17
P.lat._7M_T	12081	11991.6	17538	0.01612	chr17
P.lat._1F_T	20902	19972.6	29012	0.10282	chr18
P.lat._2F_T	16171	18865.8	27144	-0.32553	chr18
P.lat._3M_T	13655	19939.8	29160	-0.68163	chr18
P.lat._4M_T	19670	19738.1	28614	-0.00767	chr18
P.lat._6F_T	17879	19283.8	27823	-0.16451	chr18
P.lat._7M_T	19608	19714.5	28584	-0.01201	chr18
P.lat._1F_T	21291	20754.2	30276	0.05638	chr19
P.lat._2F_T	16875	19616.7	28319	-0.31505	chr19
P.lat._3M_T	14262	20862.8	30771	-0.66619	chr19
P.lat._4M_T	20337	20651.8	30110	-0.03328	chr19
P.lat._6F_T	18325	20029.9	29051	-0.18899	chr19
P.lat._7M_T	21044	20595.9	29967	0.04782	chr19
P.lat._1F_T	25684	24959.7	36432	0.06313	chr1
P.lat._2F_T	20428	23641.6	34168	-0.30529	chr1
P.lat._3M_T	16645	24842.6	36445	-0.70654	chr1
P.lat._4M_T	24515	24812.6	36204	-0.02613	chr1
P.lat._6F_T	22347	24094.4	34893	-0.16182	chr1
P.lat._7M_T	24866	24737.1	36061	0.01138	chr1
P.lat._1F_T	24390	23571.2	34225	0.07686	chr20
P.lat._2F_T	19124	22212.8	31955	-0.31705	chr20
P.lat._3M_T	16286	23557.9	34390	-0.67133	chr20
P.lat._4M_T	23140	23283.9	33739	-0.01376	chr20
P.lat._6F_T	21245	22782.5	32879	-0.15228	chr20
P.lat._7M_T	23053	23231.0	33628	-0.01712	chr20
P.lat._1F_T	13806	13703.0	20054	0.01621	chr21
P.lat._2F_T	11355	13094.9	19043	-0.29251	chr21
P.lat._3M_T	9591	13734.9	20291	-0.63208	chr21
P.lat._4M_T	13584	13665.9	20048	-0.01284	chr21
P.lat._6F_T	12035	13331.7	19427	-0.21274	chr21
P.lat._7M_T	13957	13647.2	19967	0.04901	chr21
P.lat._1F_T	19636	19190.1	27900	0.05120	chr22
P.lat._2F_T	15745	18239.5	26323	-0.30859	chr22
P.lat._3M_T	12867	19148.0	27947	-0.71383	chr22
P.lat._4M_T	18647	19066.4	27667	-0.04876	chr22
P.lat._6F_T	17021	18530.0	26768	-0.18318	chr22
P.lat._7M_T	19138	19089.6	27714	0.00562	chr22
P.lat._1F_T	16546	16063.4	23454	0.06530	chr23
P.lat._2F_T	12864	15140.3	21894	-0.33704	chr23
P.lat._3M_T	10992	16001.0	23438	-0.67352	chr23
P.lat._4M_T	15753	15951.8	23264	-0.02718	chr23
P.lat._6F_T	14636	15706.9	22805	-0.15087	chr23
P.lat._7M_T	15846	16001.3	23340	-0.02117	chr23
P.lat._1F_T	11425	11090.8	16322	0.06389	chr24
P.lat._2F_T	9129	10495.6	15318	-0.28340	chr24
P.lat._3M_T	7741	11042.6	16296	-0.62848	chr24
P.lat._4M_T	10844	11024.7	16234	-0.03469	chr24
P.lat._6F_T	9706	10705.3	15680	-0.20087	chr24
P.lat._7M_T	10904	10936.3	16075	-0.00628	chr24
P.lat._1F_T	22655	21939.7	31969	0.07132	chr2
P.lat._2F_T	17501	20720.1	29891	-0.35101	chr2
P.lat._3M_T	15006	21831.6	32013	-0.67039	chr2
P.lat._4M_T	21237	21851.1	31833	-0.06152	chr2
P.lat._6F_T	19791	21341.1	30960	-0.16115	chr2
P.lat._7M_T	21695	21834.4	31783	-0.01402	chr2
P.lat._1F_T	24121	23047.1	33564	0.10211	chr3
P.lat._2F_T	18835	21708.7	31300	-0.29961	chr3
P.lat._3M_T	15858	23055.6	33780	-0.67115	chr3
P.lat._4M_T	22991	22926.2	33366	0.00621	chr3
P.lat._6F_T	20371	22319.0	32287	-0.19542	chr3
P.lat._7M_T	22720	22841.4	33204	-0.01171	chr3
P.lat._1F_T	20471	19578.2	28244	0.10303	chr4
P.lat._2F_T	16663	18728.9	26826	-0.25513	chr4
P.lat._3M_T	12881	19482.9	28225	-0.75518	chr4
P.lat._4M_T	19410	19453.1	28072	-0.00500	chr4
P.lat._6F_T	17690	18931.0	27121	-0.15153	chr4
P.lat._7M_T	19461	19390.7	27944	0.00821	chr4
P.lat._1F_T	25005	24108.4	35162	0.08111	chr5
P.lat._2F_T	19852	22859.1	33031	-0.29563	chr5
P.lat._3M_T	16009	24038.6	35282	-0.71415	chr5
P.lat._4M_T	23688	24037.6	35110	-0.03157	chr5
P.lat._6F_T	21581	23237.9	33652	-0.15911	chr5
P.lat._7M_T	23863	23838.8	34708	0.00223	chr5
P.lat._1F_T	22320	21616.2	31488	0.07130	chr6
P.lat._2F_T	18614	20609.3	29720	-0.21901	chr6
P.lat._3M_T	14455	21609.9	31687	-0.71002	chr6
P.lat._4M_T	21169	21421.5	31148	-0.02596	chr6
P.lat._6F_T	19300	20950.8	30319	-0.17621	chr6
P.lat._7M_T	21615	21475.0	31268	0.01430	chr6
P.lat._1F_T	21885	21143.7	30813	0.07666	chr7
P.lat._2F_T	17692	20017.9	28900	-0.26187	chr7
P.lat._3M_T	14520	21249.9	31133	-0.68095	chr7
P.lat._4M_T	20210	21027.9	30657	-0.08495	chr7
P.lat._6F_T	19568	20547.8	29775	-0.10618	chr7
P.lat._7M_T	21383	20931.0	30425	0.04761	chr7
P.lat._1F_T	21991	21219.3	30905	0.07967	chr8
P.lat._2F_T	17524	20146.8	29118	-0.29236	chr8
P.lat._3M_T	14570	21279.8	31216	-0.67530	chr8
P.lat._4M_T	21087	21231.2	30984	-0.01479	chr8
P.lat._6F_T	18968	20510.8	29753	-0.16693	chr8
P.lat._7M_T	21067	21103.5	30775	-0.00378	chr8
P.lat._1F_T	21814	20842.5	30201	0.10381	chr9
P.lat._2F_T	17651	19771.2	28429	-0.24488	chr9
P.lat._3M_T	14444	20971.1	30597	-0.67807	chr9
P.lat._4M_T	20450	20760.6	30121	-0.03319	chr9
P.lat._6F_T	18678	20247.6	29213	-0.17508	chr9
P.lat._7M_T	20690	20737.6	30070	-0.00510	chr9
