INDV	O(HOM)	E(HOM)	N_SITES	F	chr
Pwin_T_F013	11847	11716.0	17650	0.02207	chr20
Pwin_T_F014	10525	11795.7	17771	-0.21266	chr20
Pwin_T_F015	10554	11856.6	17883	-0.21615	chr20
Pwin_T_M005	14304	12414.9	18824	0.29475	chr20
Pwin_T_M006	11124	12509.4	19004	-0.21331	chr20
Pwin_T_M007	11553	12345.6	18696	-0.12480	chr20
Pwin_T_F013	5248	5895.2	8582	-0.24087	chr21
Pwin_T_F014	5256	5917.4	8642	-0.24275	chr21
Pwin_T_F015	5679	5951.3	8690	-0.09944	chr21
Pwin_T_M005	6296	6237.5	9177	0.01990	chr21
Pwin_T_M006	5160	6300.1	9298	-0.38030	chr21
Pwin_T_M007	5995	6179.4	9057	-0.06408	chr21
Pwin_T_F013	8596	8685.0	13011	-0.02058	chr22
Pwin_T_F014	9200	8740.8	13103	0.10528	chr22
Pwin_T_F015	7898	8854.4	13289	-0.21565	chr22
Pwin_T_M005	8519	9190.6	13866	-0.14365	chr22
Pwin_T_M006	6955	9231.7	13959	-0.48160	chr22
Pwin_T_M007	8421	9148.9	13783	-0.15707	chr22
Pwin_T_F013	7994	7361.9	10802	0.18374	chr23
Pwin_T_F014	7483	7423.5	10904	0.01708	chr23
Pwin_T_F015	6669	7530.0	11068	-0.24336	chr23
Pwin_T_M005	7891	7840.7	11601	0.01336	chr23
Pwin_T_M006	6121	7851.8	11639	-0.45703	chr23
Pwin_T_M007	7516	7759.7	11447	-0.06608	chr23
Pwin_T_F013	5660	6451.7	10003	-0.22293	chr24
Pwin_T_F014	5223	6470.2	10053	-0.34810	chr24
Pwin_T_F015	6660	6503.3	10107	0.04348	chr24
Pwin_T_M005	5768	6708.8	10441	-0.25208	chr24
Pwin_T_M006	5877	6741.6	10526	-0.22846	chr24
Pwin_T_M007	6510	6640.5	10320	-0.03546	chr24
Pwin_T_F013	10435	10887.4	16691	-0.07795	chr2
Pwin_T_F014	11329	10883.8	16685	0.07675	chr2
Pwin_T_F015	9396	11041.3	16954	-0.27826	chr2
Pwin_T_M005	13728	11469.9	17641	0.36592	chr2
Pwin_T_M006	11282	11531.7	17766	-0.04005	chr2
Pwin_T_M007	11568	11436.1	17625	0.02131	chr2
Pwin_T_F013	10150	11806.4	18037	-0.26585	chr3
Pwin_T_F014	10878	11747.1	17935	-0.14046	chr3
Pwin_T_F015	10553	11877.8	18122	-0.21217	chr3
Pwin_T_M005	11623	12257.1	18804	-0.09685	chr3
Pwin_T_M006	9804	12324.5	18921	-0.38210	chr3
Pwin_T_M007	12771	12122.3	18531	0.10122	chr3
Pwin_T_F013	7576	9531.4	14288	-0.41109	chr4
Pwin_T_F014	9193	9496.2	14216	-0.06425	chr4
Pwin_T_F015	8719	9624.0	14417	-0.18882	chr4
Pwin_T_M005	10407	9928.5	14931	0.09565	chr4
Pwin_T_M006	9283	10031.6	15134	-0.14672	chr4
Pwin_T_M007	7896	9934.8	14937	-0.40759	chr4
Pwin_T_F013	10811	11694.2	17693	-0.14723	chr5
Pwin_T_F014	11089	11712.1	17697	-0.10411	chr5
Pwin_T_F015	10709	11881.5	17970	-0.19258	chr5
Pwin_T_M005	11609	12310.9	18707	-0.10974	chr5
Pwin_T_M006	10292	12348.0	18775	-0.31989	chr5
Pwin_T_M007	11416	12234.6	18546	-0.12970	chr5
Pwin_T_F013	9439	11183.9	17455	-0.27824	chr6
Pwin_T_F014	10620	11211.2	17595	-0.09261	chr6
Pwin_T_F015	10582	11262.5	17602	-0.10735	chr6
Pwin_T_M005	10440	11747.1	18457	-0.19479	chr6
Pwin_T_M006	9945	11779.2	18478	-0.27382	chr6
Pwin_T_M007	10593	11678.7	18327	-0.16330	chr6
Pwin_T_F013	10284	9967.4	15080	0.06192	chr7
Pwin_T_F014	9201	9792.7	14777	-0.11871	chr7
Pwin_T_F015	9438	10061.9	15248	-0.12030	chr7
Pwin_T_M005	10207	10467.3	15945	-0.04752	chr7
Pwin_T_M006	8138	10445.3	15905	-0.42260	chr7
Pwin_T_M007	9473	10406.3	15809	-0.17274	chr7
Pwin_T_F013	10387	11074.7	17172	-0.11279	chr8
Pwin_T_F014	11128	11157.7	17305	-0.00483	chr8
Pwin_T_F015	11529	11180.4	17401	0.05604	chr8
Pwin_T_M005	10940	11726.7	18273	-0.12018	chr8
Pwin_T_M006	10172	11722.0	18298	-0.23571	chr8
Pwin_T_M007	10819	11602.0	18066	-0.12112	chr8
Pwin_T_F013	8751	9143.8	13774	-0.08484	chr9
Pwin_T_F014	9394	9118.3	13799	0.05890	chr9
Pwin_T_F015	8218	9317.0	14104	-0.22959	chr9
Pwin_T_M005	9500	9609.3	14585	-0.02196	chr9
Pwin_T_M006	8402	9676.2	14724	-0.25243	chr9
Pwin_T_M007	10871	9508.6	14385	0.27939	chr9
