INDV	O(HOM)	E(HOM)	N_SITES	F	chr
SRR5034744	10756	11443.9	16761	-0.12937	chr20
SRR5034747	10877	11452.9	16746	-0.10879	chr20
SRR5034749	10381	11066.4	16158	-0.13461	chr20
SRR5034751	10826	11249.7	16434	-0.08172	chr20
SRR5034754	13022	11496.8	16825	0.28625	chr20
SRR5034756	11006	11473.8	16795	-0.08792	chr20
SRR5034717	6702	6872.0	10043	-0.05363	chr21
SRR5034720	6735	6867.6	10039	-0.04180	chr21
SRR5034723	6632	6850.9	10008	-0.06935	chr21
SRR5034729	6074	6439.2	9397	-0.12347	chr21
SRR5034733	6342	6793.8	9918	-0.14463	chr21
SRR5034735	6451	6811.1	9949	-0.11475	chr21
SRR5034740	7015	6940.5	10141	0.02327	chr21
SRR5034741	6301	6619.6	9664	-0.10464	chr21
SRR5034742	6606	6859.1	10024	-0.07997	chr21
SRR5034744	6396	6846.2	10005	-0.14251	chr21
SRR5034747	6284	6809.2	9940	-0.16775	chr21
SRR5034749	6706	6566.7	9589	0.04608	chr21
SRR5034751	6268	6706.9	9792	-0.14225	chr21
SRR5034754	6363	6893.0	10079	-0.16634	chr21
SRR5034756	6406	6834.8	9995	-0.13571	chr21
SRR5034717	8865	9341.6	13505	-0.11448	chr22
SRR5034720	9179	9376.7	13560	-0.04725	chr22
SRR5034723	8900	9333.3	13494	-0.10415	chr22
SRR5034729	9551	8869.7	12827	0.17217	chr22
SRR5034733	10280	9260.9	13395	0.24651	chr22
SRR5034735	8828	9306.6	13463	-0.11515	chr22
SRR5034740	9287	9480.2	13727	-0.04550	chr22
SRR5034741	8643	9042.9	13077	-0.09912	chr22
SRR5034742	9094	9357.7	13526	-0.06326	chr22
SRR5034744	9530	9347.1	13517	0.04387	chr22
SRR5034747	9249	9261.0	13395	-0.00291	chr22
SRR5034749	8938	9051.7	13097	-0.02812	chr22
SRR5034751	8634	9128.8	13202	-0.12147	chr22
SRR5034754	9555	9408.3	13614	0.03489	chr22
SRR5034756	9620	9318.7	13491	0.07222	chr22
SRR5034717	7602	8051.4	11714	-0.12269	chr23
SRR5034720	7615	8080.1	11774	-0.12591	chr23
SRR5034723	8166	8094.0	11792	0.01948	chr23
SRR5034729	8062	7643.5	11118	0.12045	chr23
SRR5034733	7839	8019.5	11676	-0.04937	chr23
SRR5034735	7781	8016.4	11669	-0.06445	chr23
SRR5034740	8085	8164.4	11910	-0.02120	chr23
SRR5034741	7331	7792.7	11337	-0.13025	chr23
SRR5034742	7696	8083.7	11769	-0.10521	chr23
SRR5034744	7871	7997.9	11638	-0.03487	chr23
SRR5034747	7496	7992.0	11634	-0.13619	chr23
SRR5034749	7630	7757.7	11288	-0.03616	chr23
SRR5034751	7433	7951.6	11581	-0.14289	chr23
SRR5034754	8434	8075.7	11756	0.09737	chr23
SRR5034756	7475	7976.6	11628	-0.13737	chr23
SRR5034717	6690	6737.6	9768	-0.01570	chr24
SRR5034720	6652	6863.9	9961	-0.06841	chr24
SRR5034723	6512	6777.6	9844	-0.08661	chr24
SRR5034729	5990	6374.9	9236	-0.13453	chr24
SRR5034733	6471	6739.1	9781	-0.08813	chr24
SRR5034735	6869	6871.8	9979	-0.00091	chr24
SRR5034740	6473	6904.2	10030	-0.13796	chr24
SRR5034741	6047	6458.9	9364	-0.14178	chr24
SRR5034742	6315	6760.7	9810	-0.14617	chr24
SRR5034744	6656	6761.9	9816	-0.03469	chr24
SRR5034747	6112	6640.3	9631	-0.17667	chr24
SRR5034749	6537	6572.1	9532	-0.01187	chr24
SRR5034751	6202	6485.6	9415	-0.09679	chr24
SRR5034754	6770	6805.4	9882	-0.01151	chr24
SRR5034756	6383	6756.9	9816	-0.12222	chr24
SRR5034717	10556	10851.7	15625	-0.06194	chr2
SRR5034720	11376	10847.8	15639	0.11025	chr2
SRR5034723	10584	10841.6	15613	-0.05398	chr2
SRR5034729	9783	10153.0	14607	-0.08308	chr2
SRR5034733	10412	10690.5	15375	-0.05944	chr2
SRR5034735	10441	10774.7	15522	-0.07029	chr2
SRR5034740	10718	10996.9	15878	-0.05713	chr2
SRR5034741	9839	10415.1	14974	-0.12636	chr2
SRR5034742	10847	10754.3	15512	0.01948	chr2
SRR5034744	10206	10838.2	15617	-0.13230	chr2
SRR5034747	11012	10688.8	15373	0.06900	chr2
SRR5034749	10242	10426.6	15012	-0.04027	chr2
SRR5034751	10021	10565.8	15208	-0.11736	chr2
SRR5034754	10599	10886.0	15678	-0.05989	chr2
SRR5034756	10698	10769.1	15512	-0.01500	chr2
SRR5034717	11573	11294.9	16494	0.05350	chr3
SRR5034720	10842	11407.1	16639	-0.10801	chr3
SRR5034723	10563	11266.5	16433	-0.13618	chr3
SRR5034729	10244	10712.2	15603	-0.09573	chr3
SRR5034733	11471	11139.9	16220	0.06517	chr3
SRR5034735	11675	11203.3	16339	0.09186	chr3
SRR5034740	12441	11518.2	16816	0.17419	chr3
SRR5034741	11167	10943.2	15952	0.04469	chr3
SRR5034742	11228	11285.1	16459	-0.01104	chr3
SRR5034744	10707	11314.7	16499	-0.11723	chr3
SRR5034747	13214	11141.5	16230	0.40729	chr3
SRR5034749	10558	10940.3	15926	-0.07667	chr3
SRR5034751	10553	11138.3	16228	-0.11500	chr3
SRR5034754	13561	11285.3	16451	0.44054	chr3
SRR5034756	10859	11310.3	16487	-0.08718	chr3
SRR5034717	10211	10207.5	14774	0.00077	chr4
SRR5034720	10625	10146.4	14676	0.10566	chr4
SRR5034723	9692	10138.0	14651	-0.09883	chr4
SRR5034729	9535	9678.5	14002	-0.03318	chr4
SRR5034733	11568	10036.3	14493	0.34369	chr4
SRR5034735	9821	10193.2	14758	-0.08153	chr4
SRR5034740	9980	10345.4	14991	-0.07866	chr4
SRR5034741	9937	9880.5	14287	0.01282	chr4
SRR5034742	9435	10190.6	14728	-0.16653	chr4
SRR5034744	11017	10163.5	14697	0.18826	chr4
SRR5034747	9834	10100.3	14597	-0.05922	chr4
SRR5034749	10031	9887.5	14281	0.03267	chr4
SRR5034751	9857	9935.6	14353	-0.01780	chr4
SRR5034754	10013	10207.7	14762	-0.04274	chr4
SRR5034756	9995	10236.4	14813	-0.05275	chr4
SRR5034717	12059	12182.0	17821	-0.02181	chr5
SRR5034720	13357	12171.2	17783	0.21131	chr5
SRR5034723	12995	11985.9	17507	0.18278	chr5
SRR5034729	10942	11534.2	16837	-0.11167	chr5
SRR5034733	12561	12093.5	17696	0.08344	chr5
SRR5034735	11669	12084.0	17650	-0.07456	chr5
SRR5034740	11848	12314.3	18010	-0.08187	chr5
SRR5034741	11134	11831.5	17284	-0.12793	chr5
SRR5034742	13342	12105.3	17687	0.22157	chr5
SRR5034744	11785	12168.6	17767	-0.06851	chr5
SRR5034747	11762	12031.1	17568	-0.04859	chr5
SRR5034749	11069	11769.6	17166	-0.12984	chr5
SRR5034751	11379	11906.5	17387	-0.09624	chr5
SRR5034754	11621	12236.8	17876	-0.10919	chr5
SRR5034756	12047	12140.7	17737	-0.01674	chr5
SRR5034717	11670	12087.2	17633	-0.07522	chr6
SRR5034720	12146	12130.0	17709	0.00288	chr6
SRR5034723	14046	12028.6	17516	0.36764	chr6
SRR5034729	11229	11525.4	16780	-0.05640	chr6
SRR5034733	11163	12022.9	17509	-0.15675	chr6
SRR5034735	11287	12060.5	17576	-0.14024	chr6
SRR5034740	11800	12171.7	17756	-0.06657	chr6
SRR5034741	11219	11634.2	16924	-0.07849	chr6
SRR5034742	11356	12075.8	17608	-0.13012	chr6
SRR5034744	11325	12046.1	17551	-0.13099	chr6
SRR5034747	11547	12065.4	17595	-0.09375	chr6
SRR5034749	11426	11652.9	16962	-0.04274	chr6
SRR5034751	11001	11932.0	17379	-0.17092	chr6
SRR5034754	11907	12154.3	17718	-0.04446	chr6
SRR5034756	11925	12035.8	17518	-0.02022	chr6
SRR5034717	11385	11185.8	16295	0.03900	chr7
SRR5034720	11083	11177.6	16243	-0.01868	chr7
SRR5034723	11050	11105.9	16134	-0.01112	chr7
SRR5034729	10430	10501.8	15239	-0.01516	chr7
SRR5034733	11417	11303.6	16476	0.02192	chr7
SRR5034735	11376	11321.3	16504	0.01056	chr7
SRR5034740	10755	11263.0	16397	-0.09896	chr7
SRR5034741	10488	11059.0	16111	-0.11303	chr7
SRR5034742	11206	11366.2	16553	-0.03089	chr7
SRR5034744	10652	11419.6	16644	-0.14693	chr7
SRR5034747	10860	10950.2	15888	-0.01827	chr7
SRR5034749	10615	10849.1	15766	-0.04762	chr7
SRR5034751	10419	10938.3	15889	-0.10490	chr7
SRR5034754	11208	11063.5	16072	0.02885	chr7
SRR5034756	10875	11277.9	16439	-0.07806	chr7
SRR5034717	12701	13440.2	19602	-0.11997	chr8
SRR5034720	12929	13498.7	19664	-0.09240	chr8
SRR5034723	12623	13322.4	19416	-0.11478	chr8
SRR5034729	12547	12591.7	18356	-0.00775	chr8
SRR5034733	12802	13256.6	19313	-0.07506	chr8
SRR5034735	12483	13433.9	19586	-0.15456	chr8
SRR5034740	13241	13695.8	19985	-0.07231	chr8
SRR5034741	13022	13106.0	19091	-0.01403	chr8
SRR5034742	12564	13332.0	19441	-0.12572	chr8
SRR5034744	12953	13344.5	19450	-0.06412	chr8
SRR5034747	12792	13251.4	19296	-0.07601	chr8
SRR5034749	12697	12862.1	18744	-0.02808	chr8
SRR5034751	12032	13173.8	19181	-0.19008	chr8
SRR5034754	13080	13444.6	19607	-0.05916	chr8
SRR5034756	13350	13398.2	19529	-0.00786	chr8
SRR5034717	10191	10243.0	14953	-0.01103	chr9
SRR5034720	10229	10276.3	15008	-0.01000	chr9
SRR5034723	10008	10248.3	14951	-0.05109	chr9
SRR5034729	10028	9666.7	14101	0.08147	chr9
SRR5034733	10766	10202.1	14889	0.12032	chr9
SRR5034735	9836	10181.0	14859	-0.07375	chr9
SRR5034740	10107	10392.1	15196	-0.05934	chr9
SRR5034741	9332	9982.6	14574	-0.14171	chr9
SRR5034742	9829	10233.8	14931	-0.08619	chr9
SRR5034744	9920	10259.8	14980	-0.07200	chr9
SRR5034747	9826	10136.6	14778	-0.06691	chr9
SRR5034749	9573	9886.5	14428	-0.06903	chr9
SRR5034751	9492	9999.3	14591	-0.11048	chr9
SRR5034754	10159	10308.8	15047	-0.03161	chr9
SRR5034756	9430	10280.7	15013	-0.17977	chr9
